Ankle angle (rad),Ankle torque (N-m),Ankle velocity,Knee angle (rad),Knee torque (N-m)
-0.265290046,-1.6,-2.29,0.815068761,-7
-0.286233997,-1.6,-0.82,0.90931654,-7
-0.287979327,-1.5,0.54,0.993092344,-6.9
-0.272271363,-1.3,1.6,1.064650844,-6.5
-0.242600766,-1.1,2.34,1.118756051,-5.8
-0.204203522,-0.9,2.78,1.155407965,-4.8
-0.16231562,-0.7,2.92,1.174606587,-3.6
-0.120427718,-0.6,2.76,1.174606587,-2.3
-0.083775804,-0.5,2.38,1.158898623,-1
-0.052359878,-0.4,1.9,1.127482697,0.1
-0.029670597,-0.4,1.41,1.082104136,1
-0.012217305,-0.5,0.98,1.024508271,1.9
-0.001745329,-0.5,0.64,0.95644043,2.7
0.005235988,-0.6,0.4,0.877900614,3.5
0.010471976,-0.6,0.25,0.79237948,4.2
0.012217305,-0.6,0.17,0.69987703,4.9
0.015707963,-0.6,0.14,0.602138592,5.8
0.017453293,-0.6,0.15,0.500909495,6.8
0.019198622,-0.5,0.21,0.397935069,8
0.02268928,-0.3,0.29,0.294960644,9.4
0.027925268,-0.1,0.36,0.200712864,11.1
0.033161256,0.1,0.4,0.11693706,12.8
0.038397244,0.3,0.34,0.04712389,14.3
0.043633231,0.5,0.16,-0.001745329,15.1
0.043633231,0.5,-0.21,-0.031415927,14.6
0.036651914,0.5,-0.79,-0.040142573,12.7
0.020943951,0.3,-1.54,-0.031415927,9.5
-0.006981317,1.7,-2.24,-0.010471976,33.8
-0.043633231,-4.6,-2.63,0.019198622,19.9
-0.082030475,-8.3,-2.47,0.052359878,7.6
-0.113446401,-2.8,-1.77,0.089011792,4.5
-0.132645023,-6.9,-0.77,0.129154365,-7.8
-0.136135682,-4.6,0.25,0.171042267,-14.5
-0.125663706,-5,1.08,0.211184839,-24.8
-0.104719755,-2.6,1.59,0.244346095,-31.6
-0.080285146,0.5,1.77,0.268780705,-35
-0.054105207,-0.2,1.71,0.282743339,-37.8
-0.031415927,3.5,1.52,0.284488668,-32.5
-0.010471976,5.1,1.31,0.277507351,-28.1
0.006981317,6.6,1.14,0.265290046,-24.8
0.020943951,10.5,1.04,0.247836754,-20.2
0.036651914,10.6,0.96,0.230383461,-19.8
0.048869219,14.1,0.84,0.214675498,-15.8
0.059341195,18.7,0.66,0.198967535,-10.9
0.068067841,22.5,0.49,0.18675023,-7.8
0.073303829,25.3,0.39,0.176278254,-6.6
0.080285146,27.9,0.4,0.16406095,-6.6
0.085521133,30.3,0.49,0.153588974,-7
0.09250245,33.5,0.6,0.143116999,-5.9
0.102974426,38.8,0.63,0.132645023,-2.3
0.111701072,45.1,0.51,0.122173048,2.3
0.11693706,45.4,0.3,0.111701072,0.1
0.120427718,53.5,0.1,0.102974426,5
0.120427718,58.8,-0.01,0.09424778,6.2
0.120427718,64.8,-0.02,0.090757121,7.9
0.118682389,71.2,-0.01,0.089011792,10.4
0.118682389,77.3,-0.05,0.095993109,12.5
0.118682389,82.7,-0.22,0.108210414,12.4
0.113446401,87,-0.55,0.127409035,10
0.102974426,89.7,-1.04,0.155334303,6.4
0.083775804,89.8,-1.62,0.190240888,2.2
0.055850536,86.7,-2.21,0.232128791,-2.3
0.020943951,79.7,-2.79,0.282743339,-6.5
-0.02443461,68.6,-3.4,0.342084533,-10.1
-0.076794487,54.3,-4.03,0.410152374,-12.5
-0.13962634,38.8,-4.5,0.485201532,-13.3
-0.205948852,24.2,-4.54,0.565486678,-12.5
-0.268780705,12.3,-3.97,0.65275314,-10.6
-0.319395253,3.6,-2.84,0.741764932,-6.8